#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_11_length_129366_cov_29.977094	106719	109832	-	acrD	1-3114/3114	===============	0/0	100.00	99.78	card	AP009048.1:2586250-2589364	AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole and is regulated by baeRS and cpxAR.	aminoglycoside
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_12_length_128444_cov_28.379036	30057	30470	+	H-NS	1-414/414	===============	0/0	100.00	99.52	card	BA000007.3:1738104-1737690	H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE mdtE and emrK as well as nearby genes of many RND-type multidrug exporters.	cephalosporin;fluoroquinolone;macrolide;penicillin_beta-lactam;tetracycline
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_13_length_127732_cov_35.672181	62328	63701	+	cpxA	1-1374/1374	===============	0/0	100.00	98.91	card	BA000007.3:4905062-4903688	CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR which promotes efflux complex expression.	aminocoumarin;aminoglycoside
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_19_length_81937_cov_26.898097	17101	18327	-	mdtG	1-1227/1227	===============	0/0	100.00	99.43	card	CP000800.1:1192954-1191727	The MdtG protein also named YceE appears to be a member of the major facilitator superfamily of transporters and it has been reported when overexpressed to increase fosfomycin and deoxycholate resistances. mdtG is a member of the marA-soxS-rob regulon.	phosphonic_acid
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_19_length_81937_cov_26.898097	26958	28166	-	mdtH	1-1209/1209	===============	0/0	100.00	97.93	card	U00096.1:1125326-1124117	Multidrug resistance protein MdtH.	fluoroquinolone
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_21_length_65572_cov_36.653876	7664	9307	-	eptA	1-1644/1644	===============	0/0	100.00	99.45	card	AP009048.1:4340268-4338624	PmrC mediates the modification of Lipid A by the addition of 4-amino-4-deoxy-L-arabinose (L-Ara4N) and phosphoethanolamine resulting in a less negative cell membrane and decreased binding of polymyxin B.	peptide
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_21_length_65572_cov_36.653876	51525	52658	-	EC-15	1-1134/1134	===============	0/0	100.00	98.59	card	NG_049081.1:100-1234	EC-15 is a EC beta-lactamase.	cephalosporin
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_22_length_64591_cov_30.113596	37696	38889	+	Escherichia_coli_acrA	1-1194/1194	===============	0/0	100.00	100.00	card	U00096.3:485619-484425	AcrA is a subunit of the AcrAB-TolC multidrug efflux system found in E. coli.	cephalosporin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;penicillin_beta-lactam;phenicol;rifamycin;tetracycline
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_22_length_64591_cov_30.113596	38912	42061	+	acrB	1-3150/3150	===============	0/0	100.00	99.94	card	U00096.3:484403-481253	Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrB functions as a herterotrimer which forms the inner membrane component and is primarily responsible for substrate recognition and energy transduction by acting as a drug/proton antiporter.	cephalosporin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;penicillin_beta-lactam;phenicol;rifamycin;tetracycline
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_23_length_60395_cov_30.567650	4766	5932	+	ugd	1-1167/1167	===============	0/0	100.00	98.37	card	U00096.1:2099613-2098446	PmrE is required for the synthesis and transfer of 4-amino-4-deoxy-L-arabinose (Ara4N) to Lipid A which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin.	peptide
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_25_length_55025_cov_29.742278	12658	13041	-	marA	1-384/384	===============	0/0	100.00	100.00	card	AP009048.1:1621287-1621671	In the presence of antibiotic stress E. coli overexpresses the global activator protein MarA which besides inducing MDR efflux pump AcrAB also down- regulates synthesis of the porin OmpF.	carbapenem;cephalosporin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;monobactam;penicillin_beta-lactam;phenicol;rifamycin;tetracycline
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_2_length_187464_cov_34.058146	5787	8891	-	AcrF	1-3105/3105	===============	0/0	100.00	98.97	card	U00096.1:3415032-3418137	AcrF is a inner membrane transporter similar to AcrB.	cephalosporin;fluoroquinolone;penicillin_beta-lactam
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_2_length_187464_cov_34.058146	8903	10060	-	AcrE	1-1158/1158	===============	0/0	100.00	98.88	card	U00096.1:3413863-3415021	AcrE is a membrane fusion protein similar to AcrA.	cephalosporin;fluoroquinolone;penicillin_beta-lactam
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_2_length_187464_cov_34.058146	10459	11121	+	AcrS	1-663/663	===============	0/0	100.00	99.09	card	U00096.1:3413465-3412802	AcrS is a repressor of the AcrAB efflux complex and is associated with the expression of AcrEF. AcrS is believed to regulate a switch between AcrAB and AcrEF efflux.	cephalosporin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;penicillin_beta-lactam;phenicol;rifamycin;tetracycline
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_31_length_48152_cov_33.083456	6448	6780	-	Escherichia_coli_emrE	1-333/333	===============	0/0	100.00	99.10	card	Z11877.1:485-818	Member of the small MDR (multidrug resistance) family of transporters; in Escherichia coli this protein provides resistance against a number of positively charged compounds including ethidium bromide and erythromycin; proton-dependent secondary transporter which exchanges protons for compound translocation.	macrolide
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_36_length_43559_cov_41.093830	36123	37280	+	mdtE	1-1158/1158	===============	0/0	100.00	100.00	card	AP009048.1:3981183-3980025	MdtE is the membrane fusion protein of the MdtEF multidrug efflux complex. It shares 70% sequence similarity with AcrA.	fluoroquinolone;macrolide;penicillin_beta-lactam
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_36_length_43559_cov_41.093830	37305	40418	+	mdtF	1-3114/3114	===============	0/0	100.00	99.97	card	U00096.1:3660413-3663527	MdtF is the multidrug inner membrane transporter for the MdtEF-TolC efflux complex.	fluoroquinolone;macrolide;penicillin_beta-lactam
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_36_length_43559_cov_41.093830	40781	41509	-	gadW	1-729/729	===============	0/0	100.00	94.65	card	CP015085.1:2552440-2551711	GadW is an AraC-family regulator that promotes mdtEF expression to confer multidrug resistance. GadW inhibits GadX-dependent activation. GadW clearly represses gadX and in situations where GadX is missing activates gadA and gadBC.	fluoroquinolone;macrolide;penicillin_beta-lactam
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_36_length_43559_cov_41.093830	41877	42701	-	gadX	1-825/825	===============	0/0	100.00	100.00	card	AP009048.1:3974604-3975429	GadX is an AraC-family regulator that promotes mdtEF expression to confer multidrug resistance.	fluoroquinolone;macrolide;penicillin_beta-lactam
