#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_12_length_128444_cov_28.379036	116956	117625	+	phoP	4-673/675	===============	0/0	99.26	82.39	vfdb	NP_460201	(phoP) response regulator in two-component regulatory system with PhoQ [PhoPQ (VF0111) - Regulation (VFC0301)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_13_length_127732_cov_35.672181	16413	18146	+	ibeC	1-1734/1734	===============	0/0	100.00	97.35	vfdb	WP_000556298	(ibeC) phosphoethanolamine transferase CptA [Ibes (VF0237) - Invasion (VFC0083)] [Escherichia coli O45:K1:H7 str. S88]	
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_15_length_114975_cov_27.517464	83391	85464	-	flhA	6-2079/2079	===============	0/0	99.76	82.11	vfdb	WP_020687642	(flhA) flagellar biosynthesis protein FlhA [Flagella (VF1400) - Motility (VFC0204)] [Enterobacter cloacae strain M12X01451]	
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_15_length_114975_cov_27.517464	86812	87456	-	cheZ	1-645/645	===============	0/0	100.00	80.16	vfdb	WP_013096065	(cheZ) protein phosphatase CheZ [Flagella (VF1400) - Motility (VFC0204)] [Enterobacter cloacae strain M12X01451]	
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_15_length_114975_cov_27.517464	87467	87856	-	cheY	1-390/390	===============	0/0	100.00	83.85	vfdb	WP_008500431	(cheY) chemotaxis response regulator CheY [Flagella (VF1400) - Motility (VFC0204)] [Enterobacter cloacae strain M12X01451]	
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_15_length_114975_cov_27.517464	87873	88920	-	cheB	1-1048/1050	===============	0/0	99.81	82.25	vfdb	WP_003859716	(cheB) protein-glutamate methylesterase/protein-glutamine glutaminase [Flagella (VF1400) - Motility (VFC0204)] [Enterobacter cloacae strain M12X01451]	
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_15_length_114975_cov_27.517464	93270	93758	-	cheW	1-489/504	===============	0/0	97.02	83.03	vfdb	WP_013096054	(cheW) chemotaxis protein CheW [Flagella (VF1400) - Motility (VFC0204)] [Enterobacter cloacae strain M12X01451]	
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_15_length_114975_cov_27.517464	95823	96611	-	motB	67-855/930	.=============.	0/0	84.84	80.48	vfdb	WP_013096052	(motB) flagellar motor protein MotB [Flagella (VF1400) - Motility (VFC0204)] [Enterobacter cloacae strain M12X01451]	
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_15_length_114975_cov_27.517464	96671	97558	-	motA	1-888/888	===============	0/0	100.00	82.32	vfdb	WP_008500417	(motA) flagellar motor stator protein MotA [Flagella (VF1400) - Motility (VFC0204)] [Enterobacter cloacae strain M12X01451]	
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_15_length_114975_cov_27.517464	97685	98263	-	flhC	1-579/579	========/======	2/2	99.83	82.24	vfdb	WP_013096051	(flhC) flagellar transcriptional regulator FlhC [Flagella (VF1400) - Motility (VFC0204)] [Enterobacter cloacae strain M12X01451]	
/Users/zaibahasankhan/Documents/prokaryotic_wgs_pipeline/results/spades/contigs.fasta	NODE_17_length_104905_cov_35.055994	37685	39113	-	aslA	1-1428/1428	========/======	1/1	100.00	97.27	vfdb	AAG10151	(aslA) putative arylsulfatase [AslA (VF0238) - Invasion (VFC0083)] [Escherichia coli O18:K1:H7 str. RS218]	
